,name,brand,price,url,image
44,Girls,Pink Elephant,5.60,https://www.notino.co.uk/pink-elephant/girls-gift-set-for-kids-pink/,https://cdn.notinoimg.com/list_2k//pink_elephant/8588006040425_01__211015.jpg
45,White Now Men Super Pure,Signal,3.50,https://www.notino.co.uk/signal/white-now-men-super-pure-toothpaste-for-men-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//signal/8710908135835_01-o__230216.jpg
46,The Mints Aquatic,Marvis,3.90,https://www.notino.co.uk/marvis/aquatic-mint-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111725_01-o__171120.jpg
47,Sensitivity & Gum Whitening,Sensodyne,4.40,https://www.notino.co.uk/sensodyne/sensitivity-gum-whitening-whitening-toothpaste-for-protection-of-teeth-and-gums-577855/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563050816_01-o__210908.jpg
48,Biomed Gum Health,Splat,3.60,https://www.notino.co.uk/splat/biomed-gum-health-organic-toothpaste/,https://cdn.notinoimg.com/list_2k//splat/2800015078395_01-o__220908.jpg
49,Healthy Gums,MEDIBLANC,10.50,https://www.notino.co.uk/mediblanc/healthy-gums-gum-protection-toothpaste/,https://cdn.notinoimg.com/list_2k//mediblanc/8059300530559-o__221027.jpg
50,Kids 6+,Curaprox,5.40,https://www.notino.co.uk/curaprox/kids-6-watermelon-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429480_01-o__211122.jpg
51,Max White Sparkle Diamonds,Colgate,2.30,https://www.notino.co.uk/colgate/max-white-sparkle-diamonds-whitening-toothpaste-with-fluoride/,https://cdn.notinoimg.com/list_2k//colgate/8718951314795_01-o__200402.jpg
52,Fluoride,Sensodyne,4.00,https://www.notino.co.uk/sensodyne/fluoride-toothpaste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//sensodyne/4047400470350_01-o__140401.jpg
53,Be You,Curaprox,9.10,https://www.notino.co.uk/curaprox/be-you-rising-star-regenerative-toothpaste-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429503_01-o__220225.jpg
54,Dental Care,Weleda,4.90,https://www.notino.co.uk/weleda/dental-care-toothpaste-with-sea-salt/,https://cdn.notinoimg.com/list_2k//weleda/4001638098090_01-o__230809.jpg
55,Green Wild Strawberry Flavoured,Ecodenta,3.60,https://www.notino.co.uk/ecodenta/green-wild-strawberry-flavoured-kids-toothpaste-with-wild-strawberry-flavour-and-carrot-extract/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001331743_01-o__160825.jpg
56,Sensitive Professional Repair & Prevent,Elmex,5.70,https://www.notino.co.uk/elmex/sensitive-professional-repair-prevent-sensitive-toothpaste-525836/,https://cdn.notinoimg.com/list_2k//elmex/8718951193765_01-o__190409.jpg
57,Professional Biocalcium,Splat,4.20,https://www.notino.co.uk/splat/professional-biocalcium-bio-active-toothpaste-for-enamel-regeneration-and-gentle-whitening/,https://cdn.notinoimg.com/list_2k//splat/7640168930059_01-o__220908.jpg
58,Optima,Apis Natural Cosmetics,3.90,https://www.notino.co.uk/apis-natural-cosmetics/optima-toothpaste-with-dead-sea-minerals/,https://cdn.notinoimg.com/list_2k//apis_natural_cosmetics/5901810041113_01-o__230906.jpg
59,Professional Choice,White Glo,0.70,https://www.notino.co.uk/white-glo/professional-choice-whitening-toothpaste-for-travelling/,https://cdn.notinoimg.com/list_2k//white-glo/9319871000189_01-o__210524.jpg
60,Opti-namel Seal & Strengthen,Elmex,5.60,https://www.notino.co.uk/elmex/opti-namel-seal-strengthen-toothpaste-dental-enamel-protection/,https://cdn.notinoimg.com/list_2k//elmex/7610108054824_01-o__230215.jpg
61,Dental Care,Weleda,3.90,https://www.notino.co.uk/weleda/dental-care/,https://cdn.notinoimg.com/list_2k//weleda/4001638081863_01-o__121109.jpg
62,Advanced White Charcoal,Colgate,1.70,https://www.notino.co.uk/colgate/advanced-white-charcoal-toothpaste-with-activated-charcoal/,https://cdn.notinoimg.com/list_2k//colgate/8718951253827_01-o__240229.jpg
63,Natural,Jack N’ Jill,4.80,https://www.notino.co.uk/jack-n-jill/natural-natural-toothpaste-for-kids-with-strawberry-flavour/,https://cdn.notinoimg.com/list_2k//jack-n-jill/9312657009017_01-o__230602.jpg
64,Natural Extracts Charcoal + White,Colgate,3.40,https://www.notino.co.uk/colgate/natural-extracts-charcoal-white-whitening-toothpaste-with-activated-charcoal/,https://cdn.notinoimg.com/list_2k//colgate/6920354822421_01-o__220801.jpg
65,Kids 0-6,Biorepair,2.70,https://www.notino.co.uk/biorepair/junior-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//biorepair/8017331069202_01-o__210205.jpg
66,Whitening Sensitivity Relief,Opalescence,3.30,https://www.notino.co.uk/opalescence/sensitivity-relief-whitening-toothpaste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//opalescence/883205029430_01-o__160513.jpg
67,Caries Protection,Elmex,4.60,https://www.notino.co.uk/elmex/caries-protection-toothpaste-without-menthol/,https://cdn.notinoimg.com/list_2k//elmex/4007965015557_01-o__221128.jpg
68,White Detox Coconut,BlanX,3.40,https://www.notino.co.uk/blanx/white-detox-coconut-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//blanx/8017331071540_01-o__210205.jpg
69,The Mints Classic Strong,Marvis,7.30,https://www.notino.co.uk/marvis/classic-strong-mint-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111701_01-o__171120.jpg
70,Max White White Crystals,Colgate,1.70,https://www.notino.co.uk/colgate/max-white-white-crystals-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//colgate/8718951313835_01-o__240229.jpg
71,Plus Parodontgel,Biorepair,4.70,https://www.notino.co.uk/biorepair/plus-parodontal-tooth-enamel-fortifying-toothpaste-to-treat-periodontitis/,https://cdn.notinoimg.com/list_2k//biorepair/brpprgw_ktps15_01__170410.jpg
72,Glo Express White,White Glo,5.30,https://www.notino.co.uk/white-glo/charcoal/,https://cdn.notinoimg.com/list_2k//white-glo/9319871002770_01-o__231109.jpg
73,Original,Truthpaste,7.40,https://www.notino.co.uk/truthpaste/original-natural-toothpaste/,https://cdn.notinoimg.com/list_2k//truthpaste/5060655080005_01-o__231127.jpg
74,Expert Black Whitening,Ecodenta,4.80,https://www.notino.co.uk/ecodenta/expert-extra-black-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001336991_01-o__160825.jpg
75,The Mints Amarelli Licorice,Marvis,3.30,https://www.notino.co.uk/marvis/amarelli-licorice-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111749_01-o__171120.jpg
76,O3X Toothpaste,BlanX,5.60,https://www.notino.co.uk/blanx/o3x-oxygen-power-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//blanx/8017331065891_01-o__190919.jpg
77,Flavour Collection,Marvis,17.40,https://www.notino.co.uk/marvis/marvis-flavour-collection-cosmetic-set-iii/,https://cdn.notinoimg.com/list_2k//marvis/8004395111008_01-o__190904.jpg
78,ADS DNA 705,Curasept,5.90,https://www.notino.co.uk/curasept/ads-dna-705-gel-toothpaste/,https://cdn.notinoimg.com/list_2k//curasept/8056746073503_01-o__240503.jpg
79,Complete Protection Whitening,Sensodyne,4.40,https://www.notino.co.uk/sensodyne/complete-protection-whitening-whitening-toothpaste-5023271/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563119698_01-o__220920.jpg
80,Desensitizing Enamel-Repair Shock Treatment,Biorepair,7.90,https://www.notino.co.uk/biorepair/desensibility-and-enamel-repair-treatment-cosmetic-set-i/,https://cdn.notinoimg.com/list_2k//biorepair/brpderw_kset10__150318.jpg
81,Whitening Mint,Marvis,7.30,https://www.notino.co.uk/marvis/whitening-mint-toothpaste-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//marvis/8004395111718_01-o__171120.jpg
82,Parodont Expert,Meridol,6.50,https://www.notino.co.uk/meridol/parodont-expert-toothpaste-against-gum-bleeding-and-periodontal-disease-297934/,https://cdn.notinoimg.com/list_2k//meridol/8718951132771_01-o__230807.jpg
83,Plus Pro White,Biorepair,4.70,https://www.notino.co.uk/biorepair/plus-pro-white-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//biorepair/8017331055380_01-o__210301.jpg
84,Pro Expert Deep Clean,Oral B,2.70,https://www.notino.co.uk/oral-b/pro-expert-deep-clean-refreshing-toothpaste/,https://cdn.notinoimg.com/list_2k//oral-b/8700216106733_01-o__230904.jpg
85,Biomed Charcoal,Splat,3.80,https://www.notino.co.uk/splat/biomed-charcoal-whitening-toothpaste-with-activated-charcoal/,https://cdn.notinoimg.com/list_2k//splat/2800015078388_01-o__220908.jpg
86,24 h Caries Protection,Signal,1.70,https://www.notino.co.uk/signal/24-h-caries-protection-anti-decay-toothpaste/,https://cdn.notinoimg.com/list_2k//signal/8710522427323_01-o__221114.jpg
87,Professional Ultracomplex,Splat,4.80,https://www.notino.co.uk/splat/professional-ultracomplex-bio-active-toothpaste-for-complex-care-and-whitening-of-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//splat/7640168930172_01-o__220909.jpg
88,Professional Medical Herbs,Splat,4.20,https://www.notino.co.uk/splat/professional-medical-herbs-bio-active-toothpaste-for-protection-of-teeth-and-gums/,https://cdn.notinoimg.com/list_2k//splat/7640168930097_01-o__220908.jpg
89,3D White Cool Water,Blend-a-med,1.60,https://www.notino.co.uk/blend-a-med/3d-white-cool-water-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//blend-a-med/8006540793138_01-o__230221.jpg
90,Expert Triple Force,Ecodenta,4.10,https://www.notino.co.uk/ecodenta/extra-toothpaste-with-triple-effect/,https://cdn.notinoimg.com/list_2k//ecodenta/4770001331903_01-o__160825.jpg
91,Pronamel Whitening,Sensodyne,5.00,https://www.notino.co.uk/sensodyne/pronamel-whitening-whitening-toothpaste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//sensodyne/5999518582021_01-o__230315.jpg
92,Pronamel Daily Protection,Sensodyne,3.20,https://www.notino.co.uk/sensodyne/pro-namel-toothpaste-dental-enamel-protecting/,https://cdn.notinoimg.com/list_2k//sensodyne/5999518572138_01-o__221027.jpg
93,Repair & Protect Whitening,Sensodyne,5.10,https://www.notino.co.uk/sensodyne/repair-protect-whitening-whitening-toothpaste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563103680_01-o__210908.jpg
94,Protect 7 Crystal White,Blend-a-med,1.60,https://www.notino.co.uk/blend-a-med/protect-7-crystal-white-toothpaste-for-complete-protection-of-teeth/,https://cdn.notinoimg.com/list_2k//blend-a-med/8006540390917_01-o__220816.jpg
95,Daily White,Signal,1.40,https://www.notino.co.uk/signal/daily-white-toothpaste-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//signal/sigdlwu_ktps20__150511.jpg
96,Biomed Calcimax,Splat,3.60,https://www.notino.co.uk/splat/biomed-calcimax-tooth-enamel-fortifying-toothpaste-with-seaweed-extracts/,https://cdn.notinoimg.com/list_2k//splat/2800015078340_01-o__220908.jpg
97,Glo Charcoal,White Glo,4.80,https://www.notino.co.uk/white-glo/charcoal-deep-stain-remover-whitening-toothpaste-with-activated-charcoal/,https://cdn.notinoimg.com/list_2k//white-glo/9319871002169_01-o__231109.jpg
98,ADS DNA 712,Curasept,5.90,https://www.notino.co.uk/curasept/ads-dna-712-gel-toothpaste/,https://cdn.notinoimg.com/list_2k//curasept/8056746073497_01-o__240503.jpg
99,Sensitive Professional Gentle Whitening,Elmex,5.00,https://www.notino.co.uk/elmex/sensitive-professional-gentle-whitening-whitening-toothpaste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//elmex/8718951070905_11-o__160804.jpg
100,Anti-Caries Professional,Elmex,5.30,https://www.notino.co.uk/elmex/anti-caries-professional-anti-decay-toothpaste/,https://cdn.notinoimg.com/list_2k//elmex/8718951279551_01-o__220203.jpg
