,country,name,brand,price,currency,url,image,scraped_at
30,UK,Triple Action Original Mint,Colgate,1.4,£,https://www.notino.co.uk/colgate/triple-action-duopack-toothpaste/,https://cdn.notinoimg.com/list_2k//colgate/6920354835971_01-o__230810.jpg,2024-06-13 12:43:04
31,UK,Max White Expert Original,Colgate,4.6,£,https://www.notino.co.uk/colgate/max-white-expert-white-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//colgate/7509546064857_01-o__221125.jpg,2024-06-13 12:43:04
32,UK,Complete Protection Extra Fresh,Parodontax,4.4,£,https://www.notino.co.uk/parodontax/complete-protection-extra-fresh-fluoride-toothpaste-for-healthy-teeth-and-gums/,https://cdn.notinoimg.com/list_2k//parodontax/5054563040596_01-o__180504.jpg,2024-06-13 12:43:04
33,UK,Repair & Protect,Sensodyne,5.3,£,https://www.notino.co.uk/sensodyne/repair-protect-toothpaste-for-sensitive-teeth-73385/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563103567_01-o__210908.jpg,2024-06-13 12:43:04
34,UK,White Now Gold,Signal,3.7,£,https://www.notino.co.uk/signal/white-now-gold-toothpaste/,https://cdn.notinoimg.com/list_2k//signal/8720181327155_01-o__230411.jpg,2024-06-13 12:43:04
35,UK,The Mints Jasmin,Marvis,3.9,£,https://www.notino.co.uk/marvis/jasmin-mint-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111756_01-o__171120.jpg,2024-06-13 12:43:04
36,UK,Plus Total Protection,Biorepair,4.7,£,https://www.notino.co.uk/biorepair/plus-protect-tooth-enamel-fortifying-toothpaste/,https://cdn.notinoimg.com/list_2k//biorepair/brpprow_ktps45_01__170616.jpg,2024-06-13 12:43:04
37,UK,Pro White,Biorepair,4.0,£,https://www.notino.co.uk/biorepair/whitening-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//biorepair/brpwhiw_ktps45__130828.jpg,2024-06-13 12:43:04
38,UK,Complete Protect 7 Original,Blend-a-med,1.7,£,https://www.notino.co.uk/blend-a-med/complete-protect-7-original-toothpaste-for-complete-protection-of-teeth/,https://cdn.notinoimg.com/list_2k//blend-a-med/8006540391488_01-o__220816.jpg,2024-06-13 12:43:04
39,UK,Extra Whitening,Sensodyne,5.0,£,https://www.notino.co.uk/sensodyne/extra-whitening-whitening-toothpaste-with-fluoride-for-sensitive-teeth-394207/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563039774_01-o__180406.jpg,2024-06-13 12:43:04
40,UK,The Mints Anise,Marvis,2.8,£,https://www.notino.co.uk/marvis/marvis-anise-mint-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111879_01-o__190911.jpg,2024-06-13 12:43:04
41,UK,Whitening,MEDIBLANC,6.8,£,https://www.notino.co.uk/mediblanc/whitening-toothpaste-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//mediblanc/3760275386502-o__221107.jpg,2024-06-13 12:43:04
42,UK,Enzycal 1450,Curaprox,5.9,£,https://www.notino.co.uk/curaprox/enzycal-1450-toothpaste/,https://cdn.notinoimg.com/list_2k//curaprox/7612412070002_01-o__141218.jpg,2024-06-13 12:43:04
43,UK,White Now,Signal,3.2,£,https://www.notino.co.uk/signal/white-now-toothpaste-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//signal/8717644461068_01-o__230106.jpg,2024-06-13 12:43:04
44,UK,Girls,Pink Elephant,5.6,£,https://www.notino.co.uk/pink-elephant/girls-gift-set-for-kids-pink/,https://cdn.notinoimg.com/list_2k//pink_elephant/8588006040425_01__211015.jpg,2024-06-13 12:43:04
45,UK,White Now Men Super Pure,Signal,3.5,£,https://www.notino.co.uk/signal/white-now-men-super-pure-toothpaste-for-men-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//signal/8710908135835_01-o__230216.jpg,2024-06-13 12:43:04
46,UK,The Mints Aquatic,Marvis,3.9,£,https://www.notino.co.uk/marvis/aquatic-mint-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111725_01-o__171120.jpg,2024-06-13 12:43:04
47,UK,Sensitivity & Gum Whitening,Sensodyne,4.4,£,https://www.notino.co.uk/sensodyne/sensitivity-gum-whitening-whitening-toothpaste-for-protection-of-teeth-and-gums-577855/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563050816_01-o__210908.jpg,2024-06-13 12:43:04
48,UK,Biomed Gum Health,Splat,3.6,£,https://www.notino.co.uk/splat/biomed-gum-health-organic-toothpaste/,https://cdn.notinoimg.com/list_2k//splat/2800015078395_01-o__220908.jpg,2024-06-13 12:43:04
49,UK,Healthy Gums,MEDIBLANC,10.5,£,https://www.notino.co.uk/mediblanc/healthy-gums-gum-protection-toothpaste/,https://cdn.notinoimg.com/list_2k//mediblanc/8059300530559-o__221027.jpg,2024-06-13 12:43:04
50,UK,Kids 6+,Curaprox,5.4,£,https://www.notino.co.uk/curaprox/kids-6-watermelon-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429480_01-o__211122.jpg,2024-06-13 12:43:04
51,UK,Max White Sparkle Diamonds,Colgate,2.3,£,https://www.notino.co.uk/colgate/max-white-sparkle-diamonds-whitening-toothpaste-with-fluoride/,https://cdn.notinoimg.com/list_2k//colgate/8718951314795_01-o__200402.jpg,2024-06-13 12:43:04
52,UK,Fluoride,Sensodyne,4.0,£,https://www.notino.co.uk/sensodyne/fluoride-toothpaste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//sensodyne/4047400470350_01-o__140401.jpg,2024-06-13 12:43:04
53,UK,Be You,Curaprox,9.1,£,https://www.notino.co.uk/curaprox/be-you-rising-star-regenerative-toothpaste-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//curaprox/7612412429503_01-o__220225.jpg,2024-06-13 12:43:04
54,UK,Dental Care,Weleda,4.9,£,https://www.notino.co.uk/weleda/dental-care-toothpaste-with-sea-salt/,https://cdn.notinoimg.com/list_2k//weleda/4001638098090_01-o__230809.jpg,2024-06-13 12:43:04
